execution,wrhs_batch,BUCKET,task,Dependency
3,2,107,PDF_CHUNK27,PDF_CHUNK7
3,2,108,PDF_CHUNK28,PDF_CHUNK8
3,2,109,PDF_CHUNK29,PDF_CHUNK9
3,2,110,PDF_CHUNK30,PDF_CHUNK10
4,2,111,PDF_CHUNK31,PDF_CHUNK11
4,2,112,PDF_CHUNK32,PDF_CHUNK12
4,2,113,PDF_CHUNK33,PDF_CHUNK13
4,2,114,PDF_CHUNK34,PDF_CHUNK14
4,2,115,PDF_CHUNK35,PDF_CHUNK15
4,2,116,PDF_CHUNK36,PDF_CHUNK16
4,2,117,PDF_CHUNK37,PDF_CHUNK17
4,2,118,PDF_CHUNK38,PDF_CHUNK18
4,2,119,PDF_CHUNK39,PDF_CHUNK19
4,2,120,PDF_CHUNK40,PDF_CHUNK20
5,2,121,PDF_CHUNK41,PDF_CHUNK21
5,2,122,PDF_CHUNK42,PDF_CHUNK22
5,2,123,PDF_CHUNK43,PDF_CHUNK23
5,2,124,PDF_CHUNK44,PDF_CHUNK24
5,2,125,PDF_CHUNK45,PDF_CHUNK25
5,2,126,PDF_CHUNK46,PDF_CHUNK26
5,2,127,PDF_CHUNK47,PDF_CHUNK27
5,2,128,PDF_CHUNK48,PDF_CHUNK28
5,2,129,PDF_CHUNK49,PDF_CHUNK29
5,2,130,PDF_CHUNK50,PDF_CHUNK30
6,2,131,PDF_CHUNK51,PDF_CHUNK31
6,2,132,PDF_CHUNK52,PDF_CHUNK32
6,2,133,PDF_CHUNK53,PDF_CHUNK33
6,2,134,PDF_CHUNK54,PDF_CHUNK34
6,2,135,PDF_CHUNK55,PDF_CHUNK35
6,2,136,PDF_CHUNK56,PDF_CHUNK36
6,2,137,PDF_CHUNK57,PDF_CHUNK37
6,2,138,PDF_CHUNK58,PDF_CHUNK38
6,2,139,PDF_CHUNK59,PDF_CHUNK39
6,2,140,PDF_CHUNK60,PDF_CHUNK40
7,2,141,PDF_CHUNK62,PDF_CHUNK41
7,2,142,PDF_CHUNK63,PDF_CHUNK42
7,2,143,PDF_CHUNK64,PDF_CHUNK43
7,2,144,PDF_CHUNK65,PDF_CHUNK44
7,2,145,PDF_CHUNK66,PDF_CHUNK45
7,2,146,PDF_CHUNK67,PDF_CHUNK46
7,2,147,PDF_CHUNK68,PDF_CHUNK47
7,2,148,PDF_CHUNK69,PDF_CHUNK48
7,2,149,PDF_CHUNK70,PDF_CHUNK49
7,2,150,PDF_CHUNK71,PDF_CHUNK50
8,2,151,PDF_CHUNK72,PDF_CHUNK51
8,2,152,PDF_CHUNK73,PDF_CHUNK52
8,2,153,PDF_CHUNK74,PDF_CHUNK53
8,2,154,PDF_CHUNK75,PDF_CHUNK54
8,2,155,PDF_CHUNK76,PDF_CHUNK55
8,2,156,PDF_CHUNK76,PDF_CHUNK56
8,2,157,PDF_CHUNK77,PDF_CHUNK57
8,2,158,PDF_CHUNK78,PDF_CHUNK58
8,2,159,PDF_CHUNK79,PDF_CHUNK59
8,2,160,PDF_CHUNK80,PDF_CHUNK60
1,3,161,PDF_CHUNK1,ROOT_PDF_CHUNK3
1,3,162,PDF_CHUNK2,ROOT_PDF_CHUNK3
1,3,163,PDF_CHUNK3,ROOT_PDF_CHUNK3
1,3,164,PDF_CHUNK4,ROOT_PDF_CHUNK3
1,3,165,PDF_CHUNK5,ROOT_PDF_CHUNK3
1,3,166,PDF_CHUNK6,ROOT_PDF_CHUNK3
1,3,167,PDF_CHUNK7,ROOT_PDF_CHUNK3
1,3,168,PDF_CHUNK8,ROOT_PDF_CHUNK3
1,3,169,PDF_CHUNK9,ROOT_PDF_CHUNK3
1,3,170,PDF_CHUNK10,ROOT_PDF_CHUNK3
2,3,171,PDF_CHUNK11,ROOT_PDF_CHUNK3
2,3,172,PDF_CHUNK12,ROOT_PDF_CHUNK3
2,3,173,PDF_CHUNK13,ROOT_PDF_CHUNK3
2,3,174,PDF_CHUNK14,ROOT_PDF_CHUNK3
2,3,175,PDF_CHUNK15,ROOT_PDF_CHUNK3
2,3,176,PDF_CHUNK16,ROOT_PDF_CHUNK3
2,3,177,PDF_CHUNK17,ROOT_PDF_CHUNK3
2,3,178,PDF_CHUNK18,ROOT_PDF_CHUNK3
2,3,179,PDF_CHUNK19,ROOT_PDF_CHUNK3
2,3,180,PDF_CHUNK20,ROOT_PDF_CHUNK3
3,3,181,PDF_CHUNK21,PDF_CHUNK1
3,3,182,PDF_CHUNK22,PDF_CHUNK2
3,3,183,PDF_CHUNK23,PDF_CHUNK3
3,3,184,PDF_CHUNK24,PDF_CHUNK4
3,3,185,PDF_CHUNK25,PDF_CHUNK5
3,3,186,PDF_CHUNK26,PDF_CHUNK6
3,3,187,PDF_CHUNK27,PDF_CHUNK7
3,3,188,PDF_CHUNK28,PDF_CHUNK8
3,3,189,PDF_CHUNK29,PDF_CHUNK9
3,3,190,PDF_CHUNK30,PDF_CHUNK10
4,3,191,PDF_CHUNK31,PDF_CHUNK11
4,3,192,PDF_CHUNK32,PDF_CHUNK12
4,3,193,PDF_CHUNK33,PDF_CHUNK13
4,3,194,PDF_CHUNK34,PDF_CHUNK14
4,3,195,PDF_CHUNK35,PDF_CHUNK15
4,3,196,PDF_CHUNK36,PDF_CHUNK16
4,3,197,PDF_CHUNK37,PDF_CHUNK17
4,3,198,PDF_CHUNK38,PDF_CHUNK18
4,3,199,PDF_CHUNK39,PDF_CHUNK19
4,3,200,PDF_CHUNK40,PDF_CHUNK20
5,3,201,PDF_CHUNK41,PDF_CHUNK21
5,3,202,PDF_CHUNK42,PDF_CHUNK22
5,3,203,PDF_CHUNK43,PDF_CHUNK23
5,3,204,PDF_CHUNK44,PDF_CHUNK24
5,3,205,PDF_CHUNK45,PDF_CHUNK25
5,3,206,PDF_CHUNK46,PDF_CHUNK26
5,3,207,PDF_CHUNK47,PDF_CHUNK27
5,3,208,PDF_CHUNK48,PDF_CHUNK28
5,3,209,PDF_CHUNK49,PDF_CHUNK29
5,3,210,PDF_CHUNK50,PDF_CHUNK30
6,3,211,PDF_CHUNK51,PDF_CHUNK31
